Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5,Bucket 6,Bucket 7,Bucket 8,Bucket 9,Bucket 10,Bucket 11,Bucket 12,Bucket 13,Bucket 14,Bucket 15,Bucket 16,Bucket 17,Bucket 18,Bucket 19,Bucket 20,Bucket 21,Bucket 22,Bucket 23
"('5948-1', '29.3354-6')","('29.3354-6', '7463-4')","('29.3354-6', '5948-1')","('15.0277-4', '29.3354-6')","('5948-1', '2550-3')","('4480-0', '5948-1')","('15.0277-4', '29.3354-6')","('5948-1', '29.3354-6')","('15.0277-4', '29.3354-6')","('29.3354-6', '12.0029-4')","('29.3354-6', '5948-1')","('29.3354-6', '19.0278-5')","('29.3354-6', '6930-5')","('29.3354-6', '5948-1')","('29.3354-6', '5948-1')","('15.0277-4', '29.3354-6')","('29.3354-6', '19.0278-5')","('36.0926-0', '29.3354-6')","('47.0287-0', '5948-1')","('29.3354-6', '19.0278-5')","('29.3354-6', '5948-1')","('4480-0', '5948-1')","('5948-1', '16.0608-1')"
"('5948-1', '2550-3')","('29.3354-6', '6930-5')","('10.8487-1', '5948-1')","('5948-1', '22.9460-5')","('36.0926-0', '29.3354-6')","('29.3354-6', '5948-1')","('4759-2', '5948-1')","('34.9103-4', '29.3354-6')","('5948-1', '22.9460-5')","('5948-1', '16.0608-1')","('4759-2', '5948-1')","('4759-2', '5948-1')","('5948-1', '2550-3')","('5948-1', '1409-0')","('5948-1', '1409-0')","('29.3354-6', '7463-4')","('5948-1', '29.3354-6')","('29.3354-6', '12.0029-4')","('29.3354-6', '5948-1')","('5948-1', '16.0608-1')","('10.8487-1', '5948-1')","('5948-1', '2550-3')","('4759-2', '5948-1')"
"('29.3354-6', '7463-4')","('5948-1', '16.0608-1')","('5948-1', '16.0608-1')","('34.9103-4', '29.3354-6')","('5948-1', '22.9460-5')","('5948-1', '1409-0')","('5948-1', '16.0608-1')","('29.3354-6', '6930-5')","('29.3354-6', '7463-4')","('4480-0', '5948-1')","('5948-1', '1409-0')","('5948-1', '16.0608-1')","('47.0287-0', '5948-1')","('5948-1', '24.9958-1')","('5948-1', '24.9958-1')","('47.0287-0', '5948-1')","('4759-2', '5948-1')","('5948-1', '16.0608-1')","('34.9103-4', '29.3354-6')","('4759-2', '5948-1')","('5948-1', '1409-0')","('29.3354-6', '7463-4')",
"('4480-0', '5948-1')","('10.8487-1', '5948-1')","('5948-1', '1409-0')","('5948-1', '29.3354-6')","('10.8487-1', '5948-1')","('5948-1', '22.9460-5')","('29.3354-6', '12.0029-4')","('10.8487-1', '5948-1')","('4759-2', '5948-1')",,"('29.3354-6', '7463-4')","('10.8487-1', '5948-1')","('29.3354-6', '7463-4')","('29.3354-6', '6930-5')","('29.3354-6', '19.0278-5')",,,"('10.8487-1', '5948-1')","('5948-1', '1409-0')",,"('29.3354-6', '12.0029-4')",,
"('36.0926-0', '29.3354-6')",,"('5948-1', '24.9958-1')","('29.3354-6', '12.0029-4')","('29.3354-6', '6930-5')","('5948-1', '24.9958-1')",,"('47.0287-0', '5948-1')",,,"('5948-1', '24.9958-1')",,"('34.9103-4', '29.3354-6')","('4759-2', '5948-1')","('5948-1', '29.0049-6')",,,,"('29.3354-6', '12.0029-4')",,"('4759-2', '5948-1')",,
"('10.8487-1', '5948-1')",,"('5948-1', '29.0049-6')",,,"('5948-1', '29.0049-6')",,,,,"('5948-1', '29.0049-6')",,"('36.0926-0', '29.3354-6')","('5948-1', '29.3354-6')","('5948-1', '11.0749-1')",,,,"('5948-1', '24.9958-1')",,"('5948-1', '29.3354-6')",,
,,"('36.0926-0', '29.3354-6')",,,"('5948-1', '11.0749-1')",,,,,"('10.8487-1', '5948-1')",,,"('4480-0', '5948-1')",,,,,"('5948-1', '29.0049-6')",,"('5948-1', '24.9958-1')",,
,,"('5948-1', '11.0749-1')",,,,,,,,,,,"('5948-1', '2550-3')",,,,,,,"('5948-1', '29.0049-6')",,
,,"('5948-1', '22.9460-5')",,,,,,,,,,,"('5948-1', '29.0049-6')",,,,,,,"('5948-1', '11.0749-1')",,
,,,,,,,,,,,,,"('5948-1', '11.0749-1')",,,,,,,,,
,,,,,,,,,,,,,"('29.3354-6', '7463-4')",,,,,,,,,
,,,,,,,,,,,,,"('15.0277-4', '29.3354-6')",,,,,,,,,
